Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
11/27/2024,HYUN,4T,,SIL,CZ29453,IL,10300 S. Doty,(773) 568-8495,2977988
01/16/2025,FORD,VN,,WHI,3399821B,IL,10300 S. Doty,(773) 785-9752,1727572
12/13/2024,HOND,VN,,LBL,TJD6706,IL,701 N. Sacramento,(773) 265-7605,7108418
01/07/2025,CHRY,VN,,SIL,DV24722,IL,10300 S. Doty,(773) 568-8495,2980692
12/04/2024,VOLK,4T,,BLK,EV83153,IL,10300 S. Doty,(773) 568-8495,2978416
12/25/2024,ACUR,LL,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7109878
12/20/2024,GMC,LL,,TAN,AY46952,IL,10300 S. Doty,(773) 568-8495,2979584
12/25/2024,TOYT,LL,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7109880
12/15/2024,JEEP,LL,,ONG,FA45410,IL,701 N. Sacramento,(773) 265-7605,7108796
11/27/2024,FORD,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7106492
12/20/2024,DODG,VN,TK,GRY,EL36312,IL,10300 S. Doty,(773) 568-8495,2979583
01/21/2025,TOYT,4D,,BLU,EA31210,IL,701 N. Sacramento,(773) 265-7605,7112454
12/16/2024,TOYT,4D,,WHI,,IL,10300 S. Doty,(773) 568-8495,2979338
01/16/2025,VOLV,4D,,GRY,,IL,10300 S. Doty,(773) 568-8495,2981262
12/06/2024,CHRY,VN,,DBL,S25473,IN,701 N. Sacramento,(773) 265-7605,7107435
12/15/2024,TOYT,4D,,SIL,EW61822,IL,701 N. Sacramento,(773) 265-7605,7108795
12/15/2024,NISS,4D,,BLU,EV18383,IL,701 N. Sacramento,(773) 265-7605,7108797
12/25/2024,TOYT,LL,,MAR,EV76677,IL,701 N. Sacramento,(773) 265-7605,7109882
12/25/2024,HYUN,4D,,BLU,265AC605,IL,400 E. Lower Wacker,(312) 744-7550,0332884
01/03/2025,CHEV,LL,,GRY,EU65803,IL,10300 S. Doty,(773) 568-8495,2980479
12/01/2024,BUIC,LL,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7106797
01/18/2025,HOND,4D,,GRY,,,10300 S. Doty,(773) 568-8495,2981396
12/13/2024,HYUN,4D,,GRY,ET47942,IL,701 N. Sacramento,(773) 265-7605,7108422
12/29/2024,HOND,VN,,LGR,DV42089,IL,10300 S. Doty,(773) 568-8495,2980235
12/23/2024,HOND,LL,,WHI,LEK6393,NY,400 E. Lower Wacker,(312) 744-7550,0332704
12/07/2024,CHRY,VN,,BLK,DQ31767,IL,701 N. Sacramento,(773) 265-7605,7107721
12/04/2024,KIA,4T,,SIL,DR64306,IL,10300 S. Doty,(773) 568-8495,2978424
01/15/2025,JEEP,LL,,ONG,DGT424,IN,10300 S. Doty,(773) 785-9752,1727561
12/04/2024,HOND,LL,,GLD,CD49335,IL,10300 S. Doty,(773) 568-8495,2978420
12/20/2024,BUIC,4D,,GRY,588GD,IN,400 E. Lower Wacker,(312) 744-7550,0332541
12/04/2024,HOND,4T,,GLD,EH72206,IL,10300 S. Doty,(773) 568-8495,2978423
12/04/2024,FORD,4T,,SIL,DV13770,IL,10300 S. Doty,(773) 568-8495,2978425
12/13/2024,HOND,4D,,GRY,EZ19556,IL,701 N. Sacramento,(773) 265-7605,7108421
12/15/2024,CHEV,4D,,SIL,010813A6,IL,701 N. Sacramento,(773) 265-7605,7108894
12/04/2024,FORD,4T,,SIL,DC39456,IL,10300 S. Doty,(773) 568-8495,2978418
12/04/2024,ACUR,4T,,BLK,116RKS,IN,10300 S. Doty,(773) 568-8495,2978422
01/11/2025,FORD,4D,,BLK,,,701 N. Sacramento,(773) 265-7605,7111315
12/13/2024,ACUR,LL,,BLK,BM92904,IL,701 N. Sacramento,(773) 265-7605,7108382
12/23/2024,ACUR,4D,,WHI,DW95769,IL,400 E. Lower Wacker,(312) 744-7550,0332714
12/15/2024,DODG,LL,,LBL,Y989902,IL,701 N. Sacramento,(773) 265-7605,7108925
01/11/2025,FORD,4D,,MAR,,IL,701 N. Sacramento,(773) 265-7605,7111302
01/20/2025,FORD,LL,,WHI,,IL,10300 S. Doty,(773) 568-8495,2981488
01/19/2025,CHEV,4D,,GRY,9631290,IL,10300 S. Doty,(773) 568-8495,2981450
12/19/2024,ACUR,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7109200
12/29/2024,FORD,4D,,SIL,DF91267,IL,400 E. Lower Wacker,(312) 744-7550,0333177
01/18/2025,INFI,4D,,BLK,19045LE,IL,701 N. Sacramento,(773) 265-7605,7112177
01/04/2025,LAND,LL,,BLK,,,701 N. Sacramento,(773) 265-7605,7110710
01/15/2025,LINC,4D,,GRY,FA59217,IL,400 E. Lower Wacker,(312) 744-7550,0334200
01/04/2025,HOND,4D,,GRY,FB42224,IL,701 N. Sacramento,(773) 265-7605,7110704
01/15/2025,CHEV,LL,,MAR,CQ55005,IL,701 N. Sacramento,(773) 265-7605,7111788
11/25/2024,FORD,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2977910
11/25/2024,BUIC,4D,,GRY,DX70849,IL,400 E. Lower Wacker,(312) 744-7550,0315126
11/25/2024,,,,RED,,IL,10300 S. Doty,(773) 568-8495,2977913
11/25/2024,TOYT,4D,,BLU,,IL,10300 S. Doty,(773) 568-8495,2977920
11/25/2024,MITS,4D,,BLU,FL358ACR,IN,10300 S. Doty,(773) 568-8495,2977919
11/25/2024,TOYT,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2977921
12/16/2024,CHRY,4D,,SIL,,,10300 S. Doty,(773) 568-8495,2979339
12/07/2024,CHEV,LL,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7107727
12/13/2024,NISS,SW,,GRY,CM33060,IL,701 N. Sacramento,(773) 265-7605,7108419
11/25/2024,DODG,4D,,BLK,AWP02F,IL,10300 S. Doty,(773) 568-8495,2977906
12/13/2024,TOYT,4D,,BLU,EV30478,IL,701 N. Sacramento,(773) 265-7605,7108383
01/04/2025,KIA,VN,,GRY,G680418,IL,701 N. Sacramento,(773) 265-7605,7110768
01/16/2025,MERC,LL,TK,BLK,,,10300 S. Doty,(773) 568-8495,2981264
12/09/2024,CHEV,4D,,SIL,ED82515,IL,701 N. Sacramento,(773) 265-7605,7108076
12/22/2024,NISS,4D,,GRY,AZB3808,WI,701 N. Sacramento,(773) 265-7605,7109663
01/16/2025,KIA,4D,,WHI,DG65834,IL,10300 S. Doty,(773) 568-8495,2981265
11/27/2024,DODG,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2977993
01/16/2025,DODG,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2981266
12/22/2024,DODG,LL,,SIL,EG27720,IL,10300 S. Doty,(773) 568-8495,2979794
12/11/2024,BMW,LL,,BLK,EK27923,IL,701 N. Sacramento,(773) 265-7605,7108171
01/03/2025,SUBA,SW,,BLU,WOMBAT,IL,701 N. Sacramento,(773) 265-7605,7110610
12/11/2024,CHEV,4D,,BLK,BF41607,IL,701 N. Sacramento,(773) 265-7605,7108173
01/09/2025,JEEP,LL,,WHI,CK43381,IL,10300 S. Doty,(773) 568-8495,2980826
12/15/2024,DODG,2D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7108926
12/15/2024,CHEV,LL,,MAR,ER71780,IL,701 N. Sacramento,(773) 265-7605,7108929
11/29/2024,NISS,LL,,BLU,DY14582,IL,10300 S. Doty,(773) 568-8495,2978080
12/07/2024,FORD,,TK,WHI,AE58080,AZ,701 N. Sacramento,(773) 265-7605,7107728
12/19/2024,LAND,LL,,BLU,EL43165,IL,701 N. Sacramento,(773) 265-7605,7109203
12/19/2024,CHEV,4D,,GRY,44ORIN,IN,701 N. Sacramento,(773) 265-7605,7109204
12/25/2024,BUIC,4D,,SIL,CQ45875,IL,400 E. Lower Wacker,(312) 744-7550,0332886
12/20/2024,JEEP,LL,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7109282
01/03/2025,MAZD,SW,,BLU,DA77752,IL,701 N. Sacramento,(773) 265-7605,7110604
12/20/2024,FORD,4D,,BLK,EC68942,IL,701 N. Sacramento,(773) 265-7605,7109307
01/03/2025,VOLV,4D,,TAN,,IL,701 N. Sacramento,(773) 265-7605,7110614
01/03/2025,HYUN,4D,,GRY,EZ75319,IL,10300 S. Doty,(773) 568-8495,2980473
11/25/2024,MAZD,4D,,GRY,EVM4543,MI,10300 S. Doty,(773) 568-8495,2977914
01/03/2025,CHEV,2D,,BLU,DS76952,IL,701 N. Sacramento,(773) 265-7605,7110606
12/01/2024,FORD,PK,,RED,3487403B,IL,10300 S. Doty,(773) 568-8495,2978139
12/19/2024,HYUN,4D,,GRY,DN85653,IL,701 N. Sacramento,(773) 265-7605,7109206
01/19/2025,HOND,4D,ACC,GLD,,,10300 S. Doty,(773) 568-8495,2981458
12/04/2024,TOYT,LL,,GRY,CR36226,IL,10300 S. Doty,(773) 568-8495,2978426
12/23/2024,JEEP,LL,,BLK,EE25825,IL,701 N. Sacramento,(773) 265-7605,7109743
12/04/2024,TOYT,SW,,BLU,EX36711,IL,701 N. Sacramento,(773) 265-7605,7107219
12/31/2024,FORD,4D,,SIL,DV24276,IL,10300 S. Doty,(773) 568-8495,2980351
12/23/2024,MITS,LL,,SIL,DN55555,IL,10300 S. Doty,(773) 568-8495,2979796
01/20/2025,FORD,LL,TK,GRN,,,10300 S. Doty,(773) 568-8495,2981476
12/07/2024,HOND,4D,,BRZ,,IL,10300 S. Doty,(773) 568-8495,2978737
12/15/2024,DODG,2D,,BLK,DA79180,IL,701 N. Sacramento,(773) 265-7605,7108930
12/07/2024,PONT,LL,,BRZ,ET75812,IL,10300 S. Doty,(773) 568-8495,2978735
12/13/2024,CHEV,LL,,CRM,CW51925,IL,701 N. Sacramento,(773) 265-7605,7108423
12/07/2024,FORD,PK,,BLK,,IL,10300 S. Doty,(773) 568-8495,2978734
12/13/2024,HOND,4D,,BLK,DV98871,IL,701 N. Sacramento,(773) 265-7605,7108410
12/09/2024,CHEV,4D,,RED,P557366,IL,701 N. Sacramento,(773) 265-7605,7108079
12/07/2024,CHEV,LL,,RED,,IL,701 N. Sacramento,(773) 265-7605,7107733
12/13/2024,INFI,4D,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7108380
12/07/2024,CHEV,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7107734
01/19/2025,JEEP,LL,,GRY,FB31528,IL,701 N. Sacramento,(773) 265-7605,7112222
12/19/2024,FORD,4D,,SIL,351AC803,IL,701 N. Sacramento,(773) 265-7605,7109201
12/07/2024,HYUN,LL,,GRY,ZZ82546,IL,10300 S. Doty,(773) 568-8495,2978738
12/11/2024,DODG,LL,TK,WHI,EQ22212,IL,10300 S. Doty,(773) 568-8495,2978971
12/11/2024,INFI,4D,,GRY,DL6135B,IL,701 N. Sacramento,(773) 265-7605,7108179
01/11/2025,CHEV,LL,TK,WHI,,,701 N. Sacramento,(773) 265-7605,7111297
12/25/2024,HYUN,4D,,BLU,BF90169,IL,10300 S. Doty,(773) 568-8495,2979940
12/13/2024,SUBA,LL,,WHI,DE88188,IL,701 N. Sacramento,(773) 265-7605,7108417
12/13/2024,HOND,4D,,GRY,P920335,IL,701 N. Sacramento,(773) 265-7605,7108420
12/23/2024,NISS,4D,,GRY,EP33895,IL,701 N. Sacramento,(773) 265-7605,7109742
12/29/2024,FORD,4D,,DBL,011791A1,IL,10300 S. Doty,(773) 568-8495,2980238
01/04/2025,HYUN,4T,,BLU,EG72321,IL,701 N. Sacramento,(773) 265-7605,7110769
01/19/2025,FORD,LL,,WHI,,IL,701 N. Sacramento,(773) 265-7605,7112361
01/07/2025,DODG,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2980694
12/11/2024,SATR,4D,,BLU,CC28420,IL,10300 S. Doty,(773) 785-9752,1727426
11/29/2024,CHEV,VN,,BLU,,IL,10300 S. Doty,(773) 568-8495,2978083
12/13/2024,NISS,LL,,GRY,011216A9,IL,10300 S. Doty,(773) 568-8495,2979088
11/29/2024,CHEV,2D,,BLK,EW50723,IL,10300 S. Doty,(773) 568-8495,2978082
12/09/2024,NISS,PK,,BLK,DH41977,IL,701 N. Sacramento,(773) 265-7605,7108078
12/08/2024,NISS,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,7107944
11/29/2024,NISS,4D,,GRY,EL24487,IL,10300 S. Doty,(773) 568-8495,2978081
01/07/2025,FORD,4D,,WHI,EQ18444,IL,10300 S. Doty,(773) 568-8495,2980695
12/19/2024,FORD,PK,,WHI,3319516B,IL,701 N. Sacramento,(773) 265-7605,7109208
11/29/2024,,OB,,RED,,IL,10300 S. Doty,(773) 785-9752,1727369
12/04/2024,CHEV,4T,,RED,FIRE53,IL,10300 S. Doty,(773) 568-8495,2978427
01/15/2025,GMC,LL,,BLK,EY51141,IL,701 N. Sacramento,(773) 265-7605,7111791
11/29/2024,KIA,4D,,GRY,BU81608,IL,10300 S. Doty,(773) 785-9752,1727367
12/11/2024,CHRY,VN,,SIL,XUS207,IN,10300 S. Doty,(773) 785-9752,1727423
01/15/2025,VOLK,4D,,BLK,EH64748,IL,400 E. Lower Wacker,(312) 744-7550,0334205
12/22/2024,TOYT,4D,COA,BLU,W2240X,WI,10300 S. Doty,(773) 568-8495,2979793
12/13/2024,GMC,LL,,RED,XFT158,IN,701 N. Sacramento,(773) 265-7605,7108385
12/25/2024,HYUN,4D,,RED,DY45281,IL,10300 S. Doty,(773) 568-8495,2979942
11/26/2024,JEEP,LL,,BLK,BR16201,IL,701 N. Sacramento,(773) 265-7605,7106238
12/01/2024,DODG,2D,,BGE,127188C,IL,10300 S. Doty,(773) 568-8495,2978141
01/11/2025,FORD,LL,,GRY,,IL,10300 S. Doty,(773) 568-8495,2980962
12/22/2024,CHEV,LL,,TAN,ER69083,IL,10300 S. Doty,(773) 568-8495,2979798
12/04/2024,FORD,4T,,BLU,EU39741,IL,10300 S. Doty,(773) 568-8495,2978434
12/07/2024,NISS,LL,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7107731
12/19/2024,GMC,PK,,WHI,AL77325,AZ,10300 S. Doty,(773) 568-8495,2979466
12/23/2024,INFI,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2979792
01/03/2025,BUIC,LL,,WHI,EK26047,IL,701 N. Sacramento,(773) 265-7605,7110616
12/20/2024,HOND,LL,,GRY,3031803B,IL,400 E. Lower Wacker,(312) 744-7550,12476
01/13/2025,FORD,LL,,BLK,011693A3,IL,10300 S. Doty,(773) 568-8495,2981101
12/04/2024,DODG,4T,,WHI,DC43824,IL,10300 S. Doty,(773) 568-8495,2978429
12/22/2024,DODG,PK,,,,,10300 S. Doty,(773) 568-8495,2979789
01/09/2025,NISS,4D,,SIL,,,701 N. Sacramento,(773) 265-7605,7111177
01/13/2025,NISS,4D,,BLK,EP72261,IL,10300 S. Doty,(773) 568-8495,2981105
12/22/2024,TOYT,4D,,GRY,ET86437,IL,10300 S. Doty,(773) 568-8495,2979788
12/22/2024,NISS,4D,,WHI,441W81,NV,701 N. Sacramento,(773) 265-7605,7109744
12/23/2024,DODG,4D,,BLK,EL51572,IL,10300 S. Doty,(773) 568-8495,2979799
01/09/2025,INFI,4D,,GRY,,,701 N. Sacramento,(773) 265-7605,7111176
12/04/2024,NISS,4T,,BLU,EP605448,IL,10300 S. Doty,(773) 568-8495,2978432
01/16/2025,CHEV,4D,,BLK,V780930,IL,701 N. Sacramento,(773) 265-7605,7111913
12/16/2024,HYUN,4D,,RED,EV30021,IL,10300 S. Doty,(773) 568-8495,2979340
12/04/2024,TESI,4T,,BLU,EN58591,IL,10300 S. Doty,(773) 568-8495,2978433
12/20/2024,JEEP,4D,,GRY,EK84953,IL,400 E. Lower Wacker,(312) 744-7550,EK84953
12/04/2024,LEXS,LL,,BLK,HZT553,MN,10300 S. Doty,(773) 568-8495,2978435
01/16/2025,CHEV,4D,IMP,MAR,,,10300 S. Doty,(773) 568-8495,2981268
11/26/2024,JEEP,LL,TK,RED,JBR7648,PA,701 N. Sacramento,(773) 265-7605,7106463
01/16/2025,CHRY,4D,,RED,011355A9,IL,701 N. Sacramento,(773) 265-7605,7111914
12/03/2024,FORD,LL,,GRY,DP61057,IL,10300 S. Doty,(773) 568-8495,2978348
12/03/2024,JEEP,LL,,GRY,EG63484,IL,10300 S. Doty,(773) 568-8495,2978354
12/20/2024,INFI,LL,,BLU,BZ78028,IL,701 N. Sacramento,(773) 265-7605,7109308
01/03/2025,DODG,4D,,WHI,210719C,IL,701 N. Sacramento,(773) 265-1846,1548676
11/26/2024,KIA,4D,,BLU,CM43273,IL,701 N. Sacramento,(773) 265-7605,7106462
11/29/2024,NISS,LL,,BLK,,IL,10300 S. Doty,(773) 785-9752,1727372
11/27/2024,BUIC,LL,,BLK,DH54202,IL,400 E. Lower Wacker,(312) 744-7550,0331054
12/15/2024,JEEP,LL,,BLU,,IL,10300 S. Doty,(773) 568-8495,2979281
11/27/2024,CHEV,2D,,RED,,IL,10300 S. Doty,(773) 568-8495,2977940
11/27/2024,KIA,4D,,RED,EE17234,IL,10300 S. Doty,(773) 568-8495,2977994
11/26/2024,HYUN,4D,,GRY,AU27298,IL,10300 S. Doty,(773) 568-8495,2977941
12/22/2024,CHRY,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2979790
12/22/2024,NISS,LL,,SIL,587CMW,IN,10300 S. Doty,(773) 568-8495,2979787
01/03/2025,JEEP,4D,,SIL,G394JV,UT,701 N. Sacramento,(773) 265-7605,7110620
12/08/2024,CHRY,4D,,BLK,DB19733,IL,701 N. Sacramento,(773) 265-7605,7107947
01/13/2025,NISS,4D,,BLK,FA60931,IL,400 E. Lower Wacker,(312) 744-7550,0334077
12/11/2024,HOND,LL,,BLK,BV54671,IL,400 E. Lower Wacker,(312) 744-7550,0331939
12/04/2024,CHEV,LL,,BLK,DB46657,IL,10300 S. Doty,(773) 568-8495,2978407
12/13/2024,VOLV,LL,,TAN,EG37504,IL,701 N. Sacramento,(773) 265-7605,7108424
12/04/2024,TESI,LL,,GRY,EK19637,IL,10300 S. Doty,(773) 568-8495,2978438
12/04/2024,JEEP,4T,,GRY,Q190533,IL,10300 S. Doty,(773) 568-8495,2978406
01/13/2025,CHRY,VN,,BLK,DG53925,IL,10300 S. Doty,(773) 785-9752,1727549
11/29/2024,JEEP,LL,,BLU,EH79322,IL,701 N. Sacramento,(773) 265-1846,1548563
01/16/2025,NISS,4D,,SIL,ES31447,IL,10300 S. Doty,(773) 568-8495,2981273
01/09/2025,VOLK,4D,,BLU,EL82181,IL,701 N. Sacramento,(773) 265-7605,7111179
11/29/2024,DODG,VN,,BLK,CZ79987,IL,701 N. Sacramento,(773) 265-7605,7106594
01/16/2025,FORD,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2981274
01/16/2025,CADI,4D,,BLK,FB84808,IL,10300 S. Doty,(773) 568-8495,2981275
12/13/2024,TESI,LL,,BGE,A2478EL,IL,701 N. Sacramento,(773) 265-7605,7108433
12/04/2024,NISS,4D,,BLK,EW62795,IL,10300 S. Doty,(773) 568-8495,2978405
12/22/2024,CHEV,4D,,GRY,EU12494,IL,10300 S. Doty,(773) 568-8495,2979791
12/04/2024,LINC,4T,,GLD,DX90218,IL,10300 S. Doty,(773) 568-8495,2978441
01/16/2025,CHRY,VN,,SIL,EJ20378,IL,701 N. Sacramento,(773) 265-7605,7111921
12/19/2024,HOND,4D,,GRY,EK58627,IL,701 N. Sacramento,(773) 265-7605,7109209
12/15/2024,CHEV,VN,,WHI,EV19199,IL,701 N. Sacramento,(773) 265-7605,7108943
01/07/2025,HYUN,LL,,BLK,EK90114,IL,10300 S. Doty,(773) 568-8495,2980696
11/29/2024,CHEV,4D,,TAN,,IL,10300 S. Doty,(773) 568-8495,2978085
12/04/2024,TOYT,4T,,GRY,EK80039,IL,10300 S. Doty,(773) 568-8495,2978440
12/19/2024,CHEV,VN,,WHI,CN11892,IL,10300 S. Doty,(773) 568-8495,2979471
11/29/2024,JEEP,LL,TK,WHI,,IL,701 N. Sacramento,(773) 265-7605,7106597
12/04/2024,CADI,4T,,BLK,E717295,IL,10300 S. Doty,(773) 568-8495,2978439
12/01/2024,TOYT,4D,,WHI,CB35289,IL,701 N. Sacramento,(773) 265-7605,7106705
12/03/2024,GMC,4D,,RED,DU71505,IL,10300 S. Doty,(773) 568-8495,2978347
11/30/2024,NISS,4D,,BLK,EV97909,IL,400 E. Lower Wacker,(312) 744-7550,0331243
12/04/2024,TOYT,4T,,BLU,EM26756,IL,10300 S. Doty,(773) 568-8495,2978437
01/15/2025,HOND,SW,,GRY,BC35936,IL,701 N. Sacramento,(773) 265-7605,7111795
12/03/2024,FORD,4D,,GRY,CU37084,IL,10300 S. Doty,(773) 568-8495,2978349
11/26/2024,CHEV,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2977931
12/04/2024,OTTE,PK,,WHI,201516H,IL,701 N. Sacramento,(773) 265-1846,1548573
12/01/2024,JEEP,LL,,WHI,,IL,10300 S. Doty,(773) 568-8495,2978144
12/20/2024,AUDI,LL,,BLK,PERRYAK,IL,400 E. Lower Wacker,(312) 744-7550,12479
12/13/2024,NISS,4T,,BLK,ES17410,IL,701 N. Sacramento,(773) 265-7605,7108430
12/11/2024,LEXS,4D,,SIL,Z781482,IL,701 N. Sacramento,(773) 265-7605,7108183
12/13/2024,CHEV,4T,,BLK,DS15694,IL,701 N. Sacramento,(773) 265-7605,7108432
12/13/2024,SUBA,SW,,CRM,DU65155,IL,701 N. Sacramento,(773) 265-7605,7108434
11/29/2024,CHEV,2D,,WHI,DT41674,IL,701 N. Sacramento,(773) 265-7605,7106595
12/29/2024,VOLK,4D,,WHI,EN82893,IL,701 N. Sacramento,(773) 265-7605,7110206
12/13/2024,TOYT,4T,,BLU,EL20493,IL,701 N. Sacramento,(773) 265-7605,7108431
01/16/2025,KIA,4D,,BLU,EZ76864,IL,701 N. Sacramento,(773) 265-7605,7111917
01/13/2025,NISS,4D,,BLU,,IL,10300 S. Doty,(773) 785-9752,1727550
12/13/2024,JEEP,LL,,GRY,ET11375,IL,701 N. Sacramento,(773) 265-7605,7108435
12/19/2024,FORD,VN,,WHI,AH71597,AZ,10300 S. Doty,(773) 568-8495,2979467
12/04/2024,KIA,SW,,BLU,BM73941,IL,701 N. Sacramento,(773) 265-7605,7107193
11/26/2024,HYUN,4D,,BLK,BZ76894,IL,10300 S. Doty,(773) 568-8495,2977928
12/19/2024,LINC,4D,,MAR,EJ60859,IL,10300 S. Doty,(773) 568-8495,2979477
11/29/2024,FORD,LL,TK,BLU,,IL,10300 S. Doty,(773) 568-8495,2978090
01/03/2025,FORD,4D,,WHI,ET77578,IL,400 E. Lower Wacker,(312) 744-7550,0333481
12/20/2024,FORD,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7109313
01/19/2025,PONT,4D,,BLK,ER31481,IL,701 N. Sacramento,(773) 265-7605,7112264
01/16/2025,HYUN,SD,,BLK,ER72939,IL,701 N. Sacramento,(773) 265-7605,7111916
12/15/2024,CHEV,4D,,BLK,DZ77240,IL,701 N. Sacramento,(773) 265-7605,7108946
11/26/2024,FORD,VN,,WHI,AG37995,AZ,10300 S. Doty,(773) 568-8495,2977926
01/04/2025,NISS,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,7110715
12/23/2024,MERZ,4D,,,,,10300 S. Doty,(773) 568-8495,2979804
12/20/2024,JEEP,LL,,GRY,ES40683,IL,701 N. Sacramento,(773) 265-7605,7109310
01/16/2025,SATR,2D,,WHI,,,701 N. Sacramento,(773) 265-7605,7111919
01/16/2025,JEEP,LL,TK,SIL,CR29243,IL,701 N. Sacramento,(773) 265-7605,7111920
01/04/2025,TOYT,4D,,BLK,BY65639,IL,701 N. Sacramento,(773) 265-7605,7110770
11/30/2024,HOND,4D,,BLK,FP209998,IL,400 E. Lower Wacker,(312) 744-7550,0331245
01/04/2025,GMC,LL,,BLK,BD84827,IL,701 N. Sacramento,(773) 265-7605,7110714
01/04/2025,FORD,LL,,WHI,EW12076,IL,701 N. Sacramento,(773) 265-7605,7110718
12/04/2024,MINI,4D,,SIL,Q745236,IL,701 N. Sacramento,(773) 265-7605,7107279
12/07/2024,DODG,LL,,WHI,EN77365,IL,10300 S. Doty,(773) 568-8495,2978745
12/07/2024,CHEV,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7107743
12/22/2024,GMC,LL,,SIL,BG86410,IL,10300 S. Doty,(773) 568-8495,2979802
01/16/2025,CHEV,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2981276
12/09/2024,CHEV,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,7108081
01/20/2025,CHEV,4D,,GLD,CY93355,IL,10300 S. Doty,(773) 568-8495,2981506
12/09/2024,DODG,HB,,GRY,EE91788,IL,10300 S. Doty,(773) 568-8495,2978889
01/04/2025,NISS,4D,,WHI,DP96409,IL,701 N. Sacramento,(773) 265-7605,7110716
12/19/2024,VOLK,LL,,BLK,EB29456,IL,10300 S. Doty,(773) 568-8495,2979479
12/09/2024,HOND,4D,,BLU,,IL,10300 S. Doty,(773) 568-8495,2978888
12/19/2024,ACUR,4D,,WHI,CJG5WS,IL,10300 S. Doty,(773) 568-8495,2979475
12/04/2024,CHEV,4D,,BLK,CV45661,IL,701 N. Sacramento,(773) 265-7605,7107280
01/04/2025,TOYT,4D,,GRY,DT17948,IL,701 N. Sacramento,(773) 265-7605,7110717
11/27/2024,NISS,4D,,GRY,EQN883,IA,400 E. Lower Wacker,(312) 744-7550,0331060
12/02/2024,JEEP,LL,,GRY,DK17128,IL,701 N. Sacramento,(773) 265-7605,7106812
11/27/2024,TESL,4D,,RED,LXR8072,PA,400 E. Lower Wacker,(312) 744-7550,0331063
12/02/2024,BUIC,4D,,WHI,QTYJQLA,TN,10300 S. Doty,(773) 568-8495,2978154
12/09/2024,HYUN,4D,,SIL,EG78117,IL,10300 S. Doty,(773) 568-8495,2978887
01/04/2025,VOLK,4D,,GRY,615AB567,IL,701 N. Sacramento,(773) 265-7605,7110713
01/04/2025,JEEP,LL,TK,RED,EF39586,IL,10300 S. Doty,(773) 568-8495,2980522
01/19/2025,GMC,LL,,GLD,957854V,ME,10300 S. Doty,(773) 568-8495,2981454
12/08/2024,VOLK,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2978831
12/02/2024,VOLK,LL,,SIL,,IL,10300 S. Doty,(773) 568-8495,2978151
11/27/2024,JEEP,LL,,BLK,9EVY176,IL,10300 S. Doty,(773) 568-8495,2977998
12/09/2024,BMW,LL,,BLK,DK20954,IL,701 N. Sacramento,(773) 265-7605,7108071
12/08/2024,DODG,PK,,BLK,4089634B,IL,10300 S. Doty,(773) 568-8495,2978833
12/19/2024,GMC,PK,,WHI,AM62296,AZ,10300 S. Doty,(773) 568-8495,2979473
01/01/2025,HYUN,4D,,GRY,DC50621,IL,10300 S. Doty,(773) 568-8495,2980379
12/20/2024,FORD,4D,,GRY,FA69875,IL,400 E. Lower Wacker,(312) 744-7550,0332552
12/06/2024,GMC,LL,,BLK,0WA5JT,AZ,10300 S. Doty,(773) 568-8495,2978579
01/13/2025,NISS,4D,,WHI,DH69430,IL,10300 S. Doty,(773) 568-8495,2981121
12/15/2024,VOLK,4D,,WHI,DR61102,IL,10300 S. Doty,(773) 568-8495,2979287
11/24/2024,MERZ,4D,,BLK,2GMC,TN,10300 S. Doty,(773) 568-8495,512428
12/11/2024,OTTE,LL,,WHI,,IL,10300 S. Doty,(773) 568-8495,2978974
01/12/2025,DODG,4D,,BLK,AUW4912,WI,701 N. Sacramento,(773) 265-7605,7111565
